train sparse categorical crossentropy,train sparse categorical accuracy,val sparse categorical crossentropy,val sparse categorical accuracy,train learning rate
1.171828031539917,0.5746250152587891,0.7677596211433411,0.7119455933570862,0.0010000000474974513
0.6481658220291138,0.7627812623977661,0.570720374584198,0.780493974685669,0.0010000000474974513
0.5048342943191528,0.8192499876022339,0.45515164732933044,0.8293851017951965,0.0010000000474974513
0.4341755211353302,0.8434062600135803,0.42533355951309204,0.8475302457809448,0.0010000000474974513
0.3915075659751892,0.8616874814033508,0.36628013849258423,0.8649193644523621,0.0010000000474974513
0.3619197607040405,0.8720937371253967,0.3550663888454437,0.875,0.0010000000474974513
0.32832884788513184,0.8848437666893005,0.3133077025413513,0.8873487710952759,0.0010000000474974513
0.29611736536026,0.8979687690734863,0.3097461760044098,0.8931451439857483,0.0010000000474974513
0.2757064700126648,0.9058125019073486,0.2915192246437073,0.9012096524238586,0.0010000000474974513
0.25384777784347534,0.9136562347412109,0.2570134103298187,0.9145665168762207,0.0010000000474974513
0.23367130756378174,0.921093761920929,0.2642892897129059,0.9160786271095276,0.0010000000474974513
0.2197275012731552,0.9268125295639038,0.2535831034183502,0.9191028475761414,0.0010000000474974513
0.20851249992847443,0.9319375157356262,0.24425311386585236,0.9203628897666931,0.0010000000474974513
0.19639961421489716,0.9356562495231628,0.24400250613689423,0.9198588728904724,0.0010000000474974513
0.1825135052204132,0.9392812252044678,0.22518986463546753,0.9269153475761414,0.0010000000474974513
0.17782634496688843,0.9412500262260437,0.2468651980161667,0.9216229915618896,0.0010000000474974513
0.17084497213363647,0.9447500109672546,0.22844329476356506,0.9281753897666931,0.0010000000474974513
0.13775895535945892,0.9560937285423279,0.1980370581150055,0.9395161271095276,0.00010000000474974513
0.12382164597511292,0.9604687690734863,0.1947721242904663,0.9405242204666138,0.00010000000474974513
0.11749040335416794,0.9626874923706055,0.19334086775779724,0.9412802457809448,0.00010000000474974513
0.11379227042198181,0.9645000100135803,0.19324545562267303,0.9427923560142517,0.00010000000474974513
0.1105443462729454,0.9648749828338623,0.19284072518348694,0.9410282373428345,0.00010000000474974513
0.10689906030893326,0.9667187333106995,0.19089926779270172,0.9453125,0.00010000000474974513
0.10473364591598511,0.9671562314033508,0.19355730712413788,0.9405242204666138,0.00010000000474974513
0.10227895528078079,0.9682187438011169,0.19528532028198242,0.9412802457809448,0.00010000000474974513
0.09623536467552185,0.969656229019165,0.19255098700523376,0.9417842626571655,1.0000000656873453e-05
0.09505929052829742,0.9700937271118164,0.19091807305812836,0.9425403475761414,1.0000000656873453e-05
0.09449701756238937,0.9707812666893005,0.19148102402687073,0.9427923560142517,1.0000001111620804e-06
