train mean squared error,val mean squared error,train learning rate
0.23245985805988312,0.1632707267999649,0.0010000000474974513
0.11261351406574249,0.043987128883600235,0.0010000000474974513
0.024146467447280884,0.019013801589608192,0.0010000000474974513
0.012267428450286388,0.011689078994095325,0.0010000000474974513
0.007511140312999487,0.008203266188502312,0.0010000000474974513
0.005600709468126297,0.004022439941763878,0.0010000000474974513
0.003919049631804228,0.0030976717825978994,0.0010000000474974513
0.002977991010993719,0.0026673998218029737,0.0010000000474974513
0.002585646929219365,0.002042713575065136,0.0010000000474974513
0.0021144207566976547,0.001651424914598465,0.0010000000474974513
0.0018564012134447694,0.0026922952383756638,0.0010000000474974513
0.0017013659235090017,0.0013633304042741656,0.0010000000474974513
0.0014533327193930745,0.0011847803834825754,0.0010000000474974513
0.0014101355336606503,0.0009698838694021106,0.0010000000474974513
0.0013291644863784313,0.0009382932330481708,0.0010000000474974513
0.0010835386347025633,0.0024215485900640488,0.0010000000474974513
0.000742838834412396,0.0007469659321941435,0.00010000000474974513
0.0006978947203606367,0.0007550904992967844,0.00010000000474974513
0.000687361927703023,0.0007239607512019575,0.00010000000474974513
0.0006692751776427031,0.0007238378166221082,1.0000000656873453e-05
0.0006682061357423663,0.000719228875823319,1.0000000656873453e-05
0.0006662312662228942,0.000719308212865144,1.0000001111620804e-06
