train mean squared error,val mean squared error,train learning rate
5.1861772537231445,3.244004011154175,0.0010000000474974513
2.8512463569641113,2.5935568809509277,0.0010000000474974513
2.445939779281616,2.323029041290283,0.0010000000474974513
2.245335340499878,2.172792911529541,0.0010000000474974513
2.1138083934783936,2.0678036212921143,0.0010000000474974513
2.0035994052886963,1.9646494388580322,0.0010000000474974513
1.9129711389541626,1.8896262645721436,0.0010000000474974513
1.8345091342926025,1.8393062353134155,0.0010000000474974513
1.7688695192337036,1.785651445388794,0.0010000000474974513
1.708965539932251,1.7398858070373535,0.0010000000474974513
1.6596076488494873,1.6931873559951782,0.0010000000474974513
1.6129248142242432,1.6518970727920532,0.0010000000474974513
1.5725325345993042,1.634638786315918,0.0010000000474974513
1.5371789932250977,1.5990601778030396,0.0010000000474974513
1.5053492784500122,1.580355167388916,0.0010000000474974513
1.4761567115783691,1.5563145875930786,0.0010000000474974513
1.4492137432098389,1.534618616104126,0.0010000000474974513
1.4223384857177734,1.5195978879928589,0.0010000000474974513
1.4027451276779175,1.5040407180786133,0.0010000000474974513
1.379921793937683,1.4729727506637573,0.0010000000474974513
1.358832836151123,1.470286250114441,0.0010000000474974513
1.3405991792678833,1.4542648792266846,0.0010000000474974513
1.3242679834365845,1.4442743062973022,0.0010000000474974513
1.310828685760498,1.4331982135772705,0.0010000000474974513
1.293162226676941,1.4203721284866333,0.0010000000474974513
1.2784885168075562,1.4101403951644897,0.0010000000474974513
1.265187382698059,1.4089449644088745,0.0010000000474974513
1.2560049295425415,1.3923871517181396,0.0010000000474974513
1.2398048639297485,1.3825122117996216,0.0010000000474974513
1.229926586151123,1.3770931959152222,0.0010000000474974513
1.218681812286377,1.3689570426940918,0.0010000000474974513
1.2105516195297241,1.3525136709213257,0.0010000000474974513
1.1986000537872314,1.3513764142990112,0.0010000000474974513
1.1906040906906128,1.359136939048767,0.0010000000474974513
1.1828314065933228,1.3563920259475708,0.0010000000474974513
1.1396510601043701,1.3247276544570923,0.00010000000474974513
1.1326093673706055,1.3217504024505615,0.00010000000474974513
1.130661964416504,1.3209527730941772,0.00010000000474974513
1.1296064853668213,1.3204511404037476,0.00010000000474974513
1.1277310848236084,1.3216784000396729,0.00010000000474974513
1.126749038696289,1.320253610610962,0.00010000000474974513
1.1261271238327026,1.3198139667510986,0.00010000000474974513
1.12460458278656,1.3212693929672241,0.00010000000474974513
1.123653769493103,1.3179364204406738,0.00010000000474974513
1.1229661703109741,1.31747567653656,0.00010000000474974513
1.1214882135391235,1.3176413774490356,0.00010000000474974513
1.1202646493911743,1.317860722541809,0.00010000000474974513
1.115229606628418,1.316293478012085,1.0000000656873453e-05
1.114573359489441,1.3160580396652222,1.0000000656873453e-05
1.114456057548523,1.3157262802124023,1.0000000656873453e-05
1.1142780780792236,1.3155750036239624,1.0000000656873453e-05
1.1141772270202637,1.3156752586364746,1.0000000656873453e-05
1.1140527725219727,1.3155580759048462,1.0000000656873453e-05
1.1133692264556885,1.3154962062835693,1.0000001111620804e-06
1.11335027217865,1.315445065498352,1.0000001111620804e-06
1.1133300065994263,1.3154340982437134,1.0000001111620804e-06
1.113310694694519,1.3154078722000122,1.0000001111620804e-06
1.1132361888885498,1.315405011177063,1.000000082740371e-07
1.1132344007492065,1.3154035806655884,1.000000082740371e-07
1.1132267713546753,1.3154033422470093,1.000000082740371e-08
