train mean squared error,val mean squared error,train learning rate
8.660077095031738,7.256231784820557,0.0010000000474974513
6.582793235778809,6.062718868255615,0.0010000000474974513
5.348914623260498,5.0433173179626465,0.0010000000474974513
4.803384304046631,4.749067306518555,0.0010000000474974513
4.575527667999268,4.598940849304199,0.0010000000474974513
4.44959831237793,4.463403701782227,0.0010000000474974513
4.297179698944092,4.273273468017578,0.0010000000474974513
4.086552619934082,4.038228988647461,0.0010000000474974513
3.9295947551727295,3.927328586578369,0.0010000000474974513
3.8247857093811035,3.8163554668426514,0.0010000000474974513
3.7317862510681152,3.746377468109131,0.0010000000474974513
3.6616907119750977,3.6671743392944336,0.0010000000474974513
3.5603110790252686,3.5510599613189697,0.0010000000474974513
3.4524693489074707,3.3859143257141113,0.0010000000474974513
3.2849791049957275,3.1922502517700195,0.0010000000474974513
3.139064311981201,3.076421022415161,0.0010000000474974513
3.0388083457946777,3.020648241043091,0.0010000000474974513
2.9787046909332275,2.9395997524261475,0.0010000000474974513
2.9372220039367676,2.9211483001708984,0.0010000000474974513
2.888546943664551,2.937934637069702,0.0010000000474974513
2.8564510345458984,2.8394577503204346,0.0010000000474974513
2.8035192489624023,2.8131892681121826,0.0010000000474974513
2.737471580505371,2.80012845993042,0.0010000000474974513
2.672290563583374,2.6867504119873047,0.0010000000474974513
2.5906310081481934,2.5951597690582275,0.0010000000474974513
2.5515949726104736,2.6106221675872803,0.0010000000474974513
2.5172855854034424,2.527719497680664,0.0010000000474974513
2.4743480682373047,2.5233144760131836,0.0010000000474974513
2.4534947872161865,2.482910633087158,0.0010000000474974513
2.4263112545013428,2.485351085662842,0.0010000000474974513
2.405256986618042,2.451603651046753,0.0010000000474974513
2.3861398696899414,2.436997175216675,0.0010000000474974513
2.372441053390503,2.4776830673217773,0.0010000000474974513
2.3576912879943848,2.400655746459961,0.0010000000474974513
2.3356738090515137,2.3658628463745117,0.0010000000474974513
2.3257741928100586,2.3456287384033203,0.0010000000474974513
2.2990942001342773,2.403738260269165,0.0010000000474974513
2.2994892597198486,2.360934257507324,0.0010000000474974513
2.2371015548706055,2.29400897026062,0.00010000000474974513
2.2280263900756836,2.2907369136810303,0.00010000000474974513
2.227295160293579,2.2902607917785645,0.00010000000474974513
2.2251052856445312,2.294250726699829,0.00010000000474974513
2.222735643386841,2.287899971008301,0.00010000000474974513
2.222015380859375,2.2825815677642822,0.00010000000474974513
2.220893621444702,2.2819271087646484,0.00010000000474974513
2.2183878421783447,2.2853078842163086,0.00010000000474974513
2.2162609100341797,2.289292335510254,0.00010000000474974513
2.2085628509521484,2.2731988430023193,1.0000000656873453e-05
2.2073309421539307,2.2731261253356934,1.0000000656873453e-05
2.206838369369507,2.27272629737854,1.0000000656873453e-05
2.2066690921783447,2.2729785442352295,1.0000000656873453e-05
2.2064592838287354,2.2711997032165527,1.0000000656873453e-05
2.2062196731567383,2.2728030681610107,1.0000000656873453e-05
2.2060725688934326,2.274564266204834,1.0000000656873453e-05
2.205385446548462,2.271866798400879,1.0000001111620804e-06
2.2050366401672363,2.271584987640381,1.0000001111620804e-06
2.204883337020874,2.2715859413146973,1.000000082740371e-07
