train sparse categorical crossentropy,train sparse categorical accuracy,val sparse categorical crossentropy,val sparse categorical accuracy,train learning rate
0.4127282202243805,0.8737812638282776,0.005246846470981836,1.0,0.0010000000474974513
0.00270621245726943,1.0,0.0014327563112601638,1.0,0.0010000000474974513
0.0009763579582795501,1.0,0.0006762861739844084,1.0,0.0010000000474974513
0.0005121202557347715,1.0,0.0003923084295820445,1.0,0.0010000000474974513
0.0003150443371850997,1.0,0.00025882269255816936,1.0,0.0010000000474974513
0.00021539423323702067,1.0,0.00018186149827670306,1.0,0.0010000000474974513
0.00015409625484608114,1.0,0.00013227740419097245,1.0,0.0010000000474974513
0.00011426948913140222,1.0,0.00010025191295426339,1.0,0.0010000000474974513
8.764512313064188e-05,1.0,7.783643377479166e-05,1.0,0.0010000000474974513
7.622235716553405e-05,1.0,7.59198228479363e-05,1.0,0.00010000000474974513
7.430776895489544e-05,1.0,7.395367720164359e-05,1.0,0.00010000000474974513
7.320693111978471e-05,1.0,7.377148722298443e-05,1.0,1.0000000656873453e-05
