train mean squared error,val mean squared error,train learning rate
0.06328188627958298,0.0024204764049500227,0.0010000000474974513
0.0015765746356919408,0.0007996761705726385,0.0010000000474974513
0.000987247796729207,0.0005186018534004688,0.0010000000474974513
0.0007196218939498067,0.0003929650702048093,0.0010000000474974513
0.0005788672133348882,0.0002857697254512459,0.0010000000474974513
0.0004372063558548689,0.0002450018946547061,0.0010000000474974513
0.00047176581574603915,0.00021788755839224905,0.0010000000474974513
0.0001919749629450962,0.0001855152368079871,0.00010000000474974513
0.0001861370838014409,0.00019048710237257183,0.00010000000474974513
0.00018003213335759938,0.00017599416605662555,0.00010000000474974513
0.00017412604938726872,0.00017435704648960382,1.0000000656873453e-05
0.00017350669077131897,0.0001707292685750872,1.0000000656873453e-05
0.00017270575335714966,0.000170617233379744,1.0000001111620804e-06
