train sparse categorical crossentropy,train sparse categorical accuracy,val sparse categorical crossentropy,val sparse categorical accuracy,train learning rate
1.154106616973877,0.5527812242507935,0.8551909923553467,0.6658266186714172,0.0010000000474974513
0.7393254041671753,0.7220312356948853,0.6187338829040527,0.7787298560142517,0.0010000000474974513
0.5540682077407837,0.7990624904632568,0.5085803866386414,0.8198084831237793,0.0010000000474974513
0.46879056096076965,0.8319687247276306,0.43374383449554443,0.8382056355476379,0.0010000000474974513
0.4165927469730377,0.8498749732971191,0.3972654640674591,0.8629032373428345,0.0010000000474974513
0.3867447078227997,0.8612187504768372,0.38570380210876465,0.8671875,0.0010000000474974513
0.370138019323349,0.8692187666893005,0.3675990402698517,0.8729838728904724,0.0010000000474974513
0.35692358016967773,0.8736562728881836,0.3653431534767151,0.8714717626571655,0.0010000000474974513
0.3386765420436859,0.8811874985694885,0.383007675409317,0.866431474685669,0.0010000000474974513
0.3214685320854187,0.887499988079071,0.34512344002723694,0.8810483813285828,0.0010000000474974513
0.3139423727989197,0.8895624876022339,0.3015987277030945,0.8986895084381104,0.0010000000474974513
0.29921215772628784,0.8955000042915344,0.29383280873298645,0.8951612710952759,0.0010000000474974513
0.2917782664299011,0.8985937237739563,0.29385772347450256,0.9004536271095276,0.0010000000474974513
0.27696073055267334,0.9037500023841858,0.27510353922843933,0.9072580933570862,0.0010000000474974513
0.27238622307777405,0.9054062366485596,0.2688538432121277,0.907006025314331,0.0010000000474974513
0.2623007595539093,0.9068750143051147,0.2669828236103058,0.9072580933570862,0.0010000000474974513
0.24904775619506836,0.9141250252723694,0.2607177793979645,0.9163306355476379,0.0010000000474974513
0.26106882095336914,0.9101250171661377,0.2526090443134308,0.9145665168762207,0.0010000000474974513
0.23501068353652954,0.9193437695503235,0.26743578910827637,0.9112903475761414,0.0010000000474974513
0.23037579655647278,0.9199687242507935,0.23104803264141083,0.9246471524238586,0.0010000000474974513
0.22402149438858032,0.9232500195503235,0.2533470094203949,0.9117943644523621,0.0010000000474974513
0.21962718665599823,0.9241562485694885,0.22375580668449402,0.921875,0.0010000000474974513
0.21060091257095337,0.9268749952316284,0.23304857313632965,0.9183467626571655,0.0010000000474974513
0.20064952969551086,0.9299062490463257,0.21654899418354034,0.9291834831237793,0.0010000000474974513
0.20110487937927246,0.9305624961853027,0.21477922797203064,0.9284273982048035,0.0010000000474974513
0.19195273518562317,0.9342812299728394,0.25757095217704773,0.9087701439857483,0.0010000000474974513
0.18741071224212646,0.9365312457084656,0.23394538462162018,0.9185987710952759,0.0010000000474974513
0.16059091687202454,0.9458437561988831,0.18831777572631836,0.9334677457809448,0.00010000000474974513
0.15435203909873962,0.9483749866485596,0.18633724749088287,0.9349798560142517,0.00010000000474974513
0.15241043269634247,0.9489374756813049,0.18494395911693573,0.9347278475761414,0.00010000000474974513
0.15036189556121826,0.949874997138977,0.18443875014781952,0.9342237710952759,0.00010000000474974513
0.14922405779361725,0.9493749737739563,0.18517592549324036,0.9357358813285828,0.00010000000474974513
0.14799684286117554,0.9495000243186951,0.1812615692615509,0.9354838728904724,0.00010000000474974513
0.14644332230091095,0.9504062533378601,0.18219077587127686,0.9344757795333862,0.00010000000474974513
0.1455385982990265,0.9511562585830688,0.1842745691537857,0.9344757795333862,0.00010000000474974513
0.14183108508586884,0.9524375200271606,0.18145707249641418,0.9349798560142517,1.0000000656873453e-05
0.1412479728460312,0.952750027179718,0.18132838606834412,0.9349798560142517,1.0000000656873453e-05
0.14070242643356323,0.9530312418937683,0.1811336725950241,0.9349798560142517,1.0000001111620804e-06
0.1406477987766266,0.9530937671661377,0.18106165528297424,0.9349798560142517,1.0000001111620804e-06
0.14062181115150452,0.9531562328338623,0.18101227283477783,0.9352318644523621,1.0000001111620804e-06
0.14059224724769592,0.9530937671661377,0.18096701800823212,0.9357358813285828,1.0000001111620804e-06
0.1405658721923828,0.953125,0.18094952404499054,0.9357358813285828,1.0000001111620804e-06
0.14049936830997467,0.953125,0.18094554543495178,0.9359878897666931,1.000000082740371e-07
0.14049719274044037,0.9531562328338623,0.1809462606906891,0.9359878897666931,1.000000082740371e-07
0.1404905617237091,0.953125,0.1809462159872055,0.9359878897666931,1.000000082740371e-08
