train mean squared error,val mean squared error,train learning rate
0.23612676560878754,0.16932256519794464,0.0010000000474974513
0.16430777311325073,0.16905257105827332,0.0010000000474974513
0.16436371207237244,0.16947530210018158,0.0010000000474974513
0.16450586915016174,0.16994217038154602,0.0010000000474974513
0.16382776200771332,0.1689770668745041,0.00010000000474974513
0.1633407026529312,0.16857320070266724,0.00010000000474974513
0.16312366724014282,0.1685173362493515,0.00010000000474974513
0.16286331415176392,0.16811257600784302,0.00010000000474974513
0.1627262383699417,0.1683545857667923,0.00010000000474974513
0.16254976391792297,0.16813142597675323,0.00010000000474974513
0.1623622477054596,0.16793391108512878,1.0000000656873453e-05
0.16227774322032928,0.16789421439170837,1.0000000656873453e-05
0.16225317120552063,0.16789935529232025,1.0000000656873453e-05
0.16221770644187927,0.16789619624614716,1.0000001111620804e-06
0.16221295297145844,0.16789305210113525,1.0000001111620804e-06
0.1622086614370346,0.16789297759532928,1.000000082740371e-07
