train sparse categorical crossentropy,train sparse categorical accuracy,val sparse categorical crossentropy,val sparse categorical accuracy,train learning rate
1.4637658596038818,0.5174999833106995,0.5899406671524048,0.90625,0.0010000000474974513
0.5176200270652771,0.8958125114440918,0.2660953402519226,1.0,0.0010000000474974513
0.16426406800746918,0.9897812604904175,0.060881759971380234,1.0,0.0010000000474974513
0.03508218005299568,1.0,0.02139173075556755,1.0,0.0010000000474974513
0.016001809388399124,1.0,0.011906826868653297,1.0,0.0010000000474974513
0.009697133675217628,1.0,0.007802076172083616,1.0,0.0010000000474974513
0.006589486263692379,1.0,0.005495877005159855,1.0,0.0010000000474974513
0.004744404461234808,1.0,0.004051164258271456,1.0,0.0010000000474974513
0.0035490072332322598,1.0,0.00308122462593019,1.0,0.0010000000474974513
0.0027282654773443937,1.0,0.002398018492385745,1.0,0.0010000000474974513
0.0021411506459116936,1.0,0.0019007259979844093,1.0,0.0010000000474974513
0.0017079211538657546,1.0,0.001528017339296639,1.0,0.0010000000474974513
0.001380111905746162,1.0,0.0012426510220393538,1.0,0.0010000000474974513
0.0011271951952949166,1.0,0.0010205324506387115,1.0,0.0010000000474974513
0.0009288640576414764,1.0,0.0008448237786069512,1.0,0.0010000000474974513
0.0007711778744123876,1.0,0.0007041188655421138,1.0,0.0010000000474974513
0.0006443097372539341,1.0,0.0005900452961213887,1.0,0.0010000000474974513
0.0005411729798652232,1.0,0.0004969995934516191,1.0,0.0010000000474974513
0.0004566212010104209,1.0,0.00042040934204123914,1.0,0.0010000000474974513
0.00038714552647434175,1.0,0.0003568040847312659,1.0,0.0010000000474974513
0.000329252565279603,1.0,0.0003042941680178046,1.0,0.0010000000474974513
0.00028026403742842376,1.0,0.0002595011901576072,1.0,0.0010000000474974513
0.00023968223831616342,1.0,0.00022285485465545207,1.0,0.0010000000474974513
0.0002196457062382251,1.0,0.00021856320381630212,1.0,0.00010000000474974513
0.00021588351228274405,1.0,0.00021461500728037208,1.0,0.00010000000474974513
0.0002136771654477343,1.0,0.00021414960792753845,1.0,1.0000000656873453e-05
