train mean squared error,val mean squared error,train learning rate
88.20854187011719,8.706782341003418,0.0010000000474974513
7.146101951599121,6.803157806396484,0.0010000000474974513
6.509895324707031,6.813704490661621,0.0010000000474974513
6.1591644287109375,6.211720943450928,0.0010000000474974513
5.935873508453369,5.7408647537231445,0.0010000000474974513
5.800868988037109,5.547229766845703,0.0010000000474974513
5.5872321128845215,5.5017619132995605,0.0010000000474974513
5.492352485656738,5.396170616149902,0.0010000000474974513
5.302053451538086,5.070466995239258,0.0010000000474974513
5.126205921173096,5.015382766723633,0.0010000000474974513
4.969552516937256,4.798069953918457,0.0010000000474974513
4.876765251159668,4.9113006591796875,0.0010000000474974513
4.736198425292969,4.839798927307129,0.0010000000474974513
4.0012383460998535,4.044783115386963,0.00010000000474974513
3.953063488006592,4.033313274383545,0.00010000000474974513
3.9552419185638428,4.037024974822998,0.00010000000474974513
3.946317434310913,4.051329135894775,0.00010000000474974513
3.871558427810669,3.9694368839263916,1.0000000656873453e-05
3.8627660274505615,3.9668009281158447,1.0000000656873453e-05
3.8610546588897705,3.9672160148620605,1.0000000656873453e-05
3.8606808185577393,3.96481990814209,1.0000000656873453e-05
3.859107255935669,3.963172674179077,1.0000000656873453e-05
3.861433982849121,3.96211838722229,1.0000000656873453e-05
3.8588781356811523,3.973701000213623,1.0000000656873453e-05
3.8607728481292725,3.9626896381378174,1.0000000656873453e-05
3.8417716026306152,3.94989275932312,1.0000001111620804e-06
3.8369405269622803,3.950047254562378,1.0000001111620804e-06
3.8365330696105957,3.948089599609375,1.0000001111620804e-06
3.8363146781921387,3.947477102279663,1.0000001111620804e-06
3.836074113845825,3.9475347995758057,1.0000001111620804e-06
3.836057186126709,3.9475982189178467,1.0000001111620804e-06
3.832319498062134,3.946600914001465,1.000000082740371e-07
3.831658363342285,3.946223020553589,1.000000082740371e-07
3.8314342498779297,3.9460129737854004,1.000000082740371e-07
3.8313491344451904,3.945927381515503,1.000000082740371e-07
3.8312063217163086,3.945775032043457,1.000000082740371e-07
3.8312313556671143,3.945709466934204,1.000000082740371e-07
3.8311336040496826,3.9456536769866943,1.000000082740371e-07
3.831052303314209,3.9456610679626465,1.000000082740371e-07
3.8310511112213135,3.945688247680664,1.000000082740371e-07
3.8301937580108643,3.9456677436828613,1.000000082740371e-08
3.830179452896118,3.945633888244629,1.000000082740371e-08
3.830080509185791,3.9456326961517334,1.000000082740371e-09
